0 - Sexe,1 - Tranche_age,2 - Statut,3 - Foyer,4 - Enfant,5 - Taille_ville,6 - Region,7 - Style_de_musique,8 - Moment_musique, 9 - Musique/jour, 10 - Musique fréquence, 11 - nb concert, 12 - appareil pour ecouter plus souvent de la musique,13 - musique seul,14 - Visionnage Illegal Musique,15 - musique accompagné,16 - Plateforme
FEMME,De 65 à plus,Célibataire,1 personne,NULL,MoinsDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Jazz,Soul","Au réveil ou avant de vous endormir,Sous la douche ou en vous préparant,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",NULL,Moins souvent,NULL,Un poste de radio / un radioréveil,Tous les jours ou presque,NULL,Moins souvent,
FEMME,De 50 à 64 ans,Couple,4 personnes ou plus,Présence d'enfant(s) au foyer,PlusDe100000Habitants,PaysDeLaLoire,"Jazz,Musiques du monde,Pop / Rock","Au réveil ou avant de vous endormir,En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Entre 3 et 4 heures / jour,Tous les jours ou presque,5 concerts/festivals ou plus,Une chaîne Hifi,Plusieurs fois par jour,Uniquement de façon légale,Tous les jours ou presque,"Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…),Des plateformes de partage de vidéos (YouTube / Dailymotion / Tik Tok…),Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu"
FEMME,De 15 à 24 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,NordPasDeCalaisPicardie,"Variété Française,R&B,Pop / Rock,Rap / Hip-Hop","En travaillant ou en étudiant,En cuisinant ou pendant les tâches ménagères,Sous la douche ou en vous préparant,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Moins de 1 heure / jour,Tous les jours ou presque,1 ou 2 concerts/festivals,Un smartphone,Tous les jours ou presque,Uniquement de façon légale,Tous les jours ou presque,Des services ou des applications de streaming musical (Spotify /  Deezer / Apple Music /  Soundcloud / Napster…)
FEMME,De 35 à 49 ans,Célibataire,1 personne,NULL,PlusDe100000Habitants,ProvenceAlpesCoteDAzur,"Variété Française,Classique",En voiture,NULL,1 à 5 fois par semaine,1 ou 2 concerts/festivals,NULL,Tous les jours ou presque,NULL,Moins souvent,
HOMME,De 50 à 64 ans,Couple,3 personnes,Aucun,MoinsDe100000Habitants,AuvergneRhoneAlpes,"Variété Française,Jazz,Musiques du monde","En cuisinant ou pendant les tâches ménagères,En voiture",NULL,1 à 3 fois par mois,1 ou 2 concerts/festivals,Une tablette,1 à 5 fois par semaine,Uniquement de façon légale,1 à 5 fois par semaine,"Des sites de téléchargement payants de morceaux ou d’albums (vous achetez un morceau / un album à télécharger...),Des réseaux sociaux (Instagram / Facebook / Snapchat…)"
FEMME,De 35 à 49 ans,Couple,2 personnes,Aucun,PlusDe100000Habitants,LanguedocRoussillonMidiP,"Variété Française,Dance,Pop / Rock","Dans les transports ou sur le chemin des études ou du travail,En voiture",NULL,1 à 5 fois par semaine,3 ou 4 concerts/festivals,Un autoradio,1 à 5 fois par semaine,Uniquement de façon légale,1 à 3 fois par mois,
HOMME,De 15 à 24 ans,Célibataire,2 personnes,Aucun,MoinsDe100000Habitants,AlsaceChampagneArdenneLo,,,NULL,Jamais,NULL,NULL,NULL,NULL,NULL,
FEMME,De 50 à 64 ans,Célibataire,1 personne,NULL,MoinsDe100000Habitants,CentreValDeLoire,"Variété Française,Jazz,Dance,R&B,Soul,Reggae,Musiques du monde,Pop / Rock,Classique","En cuisinant ou pendant les tâches ménagères,En voiture",Moins de 1 heure / jour,Tous les jours ou presque,NULL,Un poste de radio / un radioréveil,Plusieurs fois par jour,NULL,Moins souvent,
FEMME,De 50 à 64 ans,Célibataire,1 personne,NULL,MoinsDe100000Habitants,AquitaineLimousinPoitouC,"Variété Française,Jazz,Dance,Electronique,R&B,Soul,Reggae,Musiques du monde,Pop / Rock,Classique,Rap / Hip-Hop","Au réveil ou avant de vous endormir,Dans les transports ou sur le chemin des études ou du travail,En faisant du sport ou des activités récréatives,En voiture,Lorsque vous vous rassemblez avec des amis ou des proches",Plus de 6 heures /jour,Tous les jours ou presque,Aucun,Un poste de radio / un radioréveil,Plusieurs fois par jour,NULL,Tous les jours ou presque,
FEMME,De 35 à 49 ans,Couple,3 personnes,Présence d'enfant(s) au foyer,MoinsDe100000Habitants,AuvergneRhoneAlpes,Musiques du monde,En cuisinant ou pendant les tâches ménagères,NULL,Moins souvent,NULL,NULL,Moins souvent,NULL,Jamais,Des sites ou applications de radio musicales traditionnelles (Fun radio / Radio Classique / RTL2 / …) ou uniquement diffu
